PLAN_REF,FGDATE,PROPOSAL,APPDATE,LOCATION,STAGE,DECDATE,REGDATE,APPTYPE,DECISION
2508/14,NULL,Change of use from r,10-04-2014,Unit 1  Bachelor's W,Decision Notices Iss,26-05-2014,10-04-2014,Permission,REFUSE PERMISSION
3886/14,NULL,Restaurant ancillary,17-12-2014,Unit 1  Bachelor's W,Appeal Decided,05-02-2015,17-12-2014,Permission,REFUSE PERMISSION
3763/15,18-01-2016,PROTECTED STRUCTURE:,06-10-2015,34  O'Connell Street,Decision Notices Iss,26-11-2015,06-10-2015,Permission,GRANT PERMISSION
3580/13,26-02-2014,Various works includ,20-11-2013,37  Abbey Street Upp,Decision Notices Iss,16-01-2014,20-11-2013,Permission,SPLIT DECISION(PERMI
1009/08,08-04-2008,Demolish shed at rea,02-01-2008,5  Lombard Court  Du,Decision Notices Iss,26-02-2008,02-01-2008,Permission,GRANT PERMISSION
3870/17,05-01-2018,RETENTION:PROTECTED,18-09-2017,Offbeat Donut Co. Un,Decision Notices Iss,10-11-2017,18-09-2017,Retention Permission,GRANT RETENTION PERM
6306/06,14-05-2007,PROTECTED STRUCTURE-,29-11-2006,3-4  Bedford Row  Du,Decision Notices Iss,10-04-2007,27-03-2007,Permission,GRANT PERMISSION
3862/18,26-04-2019,PROTECTED STRUCTURE:,04-09-2018,21  Eden Quay  Dubli,Decision Notices Iss,22-03-2019,25-02-2019,Permission,GRANT PERMISSION
6851/06,10-04-2007,retention of change,22-12-2006,Insomnia Coffee Comp,Decision Notices Iss,21-02-2007,22-12-2006,Permission,GRANT PERMISSION
4440/09,NULL,PROTECTED STRUCTURE,10-12-2009,28  Essex Street Eas,Decision Notices Iss,18-12-2009,10-12-2009,Permission,APPLICATION DECLARED
2331/10,01-06-2010,PROTECTED STRUCTURE,01-03-2010,Dunclody Ltd  T/A Fa,Decision Notices Iss,19-04-2010,01-03-2010,Permission,GRANT PERMISSION
2156/10,NULL,PROTECTED STRUCTURE,03-02-2010,Dunclody Ltd  T/A Fa,Decision Notices Iss,23-02-2010,03-02-2010,Permission,APPLICATION DECLARED
3628/17,NULL,PROTECTED STRUCTURE:,11-08-2017,5-5a  Fownes Street,Decision Notices Iss,01-05-2018,04-04-2018,Permission,REFUSE PERMISSION
4852/08,05-02-2009,PROTECTED STRUCTURE,28-10-2008,5-5a  Fownes Street,Decision Notices Iss,18-12-2008,28-10-2008,Permission,GRANT PERMISSION
4714/08,NULL,PROTECTED STRUCTURE-,13-10-2008,5-5a  Fownes Street,Decision Notices Iss,21-10-2008,13-10-2008,Permission,APPLICATION DECLARED
3763/14,09-03-2015,Change of use from p,28-11-2014,The Observatory  7-1,Decision Notices Iss,26-01-2015,28-11-2014,Permission,GRANT PERMISSION
1823/07,22-05-2007,clear glazing and gl,23-02-2007,Retail Unit 6  Moore,Decision Notices Iss,19-04-2007,23-02-2007,Permission,GRANT PERMISSION
2570/10,NULL,PROTECTED STRUCTURE-,07-04-2010,43  Drury Street & 6,Decision Notices Iss,31-05-2010,07-04-2010,Permission,REFUSE PERMISSION
5171/04,08-02-2005,Material alterations,27-10-2004,43  Drury Street  an,Decision Appealed,20-12-2004,27-10-2004,Permission,GRANT PERMISSION
3249/05,09-09-2005,PROTECTED STRUCTURE,09-06-2005,43  Drury Street and,Decision Appealed,03-08-2005,09-06-2005,Permission,GRANT PERMISSION
6053/04,NULL,Material alterations,23-12-2004,43  Drury Street  an,Decision Notices Iss,21-02-2005,23-12-2004,Permission,REFUSE PERMISSION
3025/13,NULL,RETENTION: Of the ex,31-07-2013,Wellington House  25,Decision Notices Iss,23-09-2013,31-07-2013,Retention Permission,REFUSE RETENTION PER
2106/10,04-05-2010,PROTECTED STRUCTURE,27-01-2010,13A  Bachelors Walk,Decision Notices Iss,19-03-2010,27-01-2010,Outline Permission,GRANT OUTLINE PERMIS
3495/12,04-04-2013,External fabric retr,20-11-2012,Unit 3B  Hyde Court,Decision Notices Iss,18-02-2013,22-01-2013,Permission,GRANT PERMISSION
2826/18,20-07-2018,The proposed develop,24-04-2018,Rear of No. 59  Daws,Decision Notices Iss,15-06-2018,24-04-2018,Permission,GRANT PERMISSION
3406/17,11-10-2017,Change of use of the,14-07-2017,Exchequer Chambers (,Decision Notices Iss,07-09-2017,14-07-2017,Permission,GRANT PERMISSION
2779/06,28-07-2006,Permission for chang,03-05-2006,Millenium Walkway at,Registered applicati,23-06-2006,03-05-2006,Permission,GRANT PERMISSION
3054/13,06-11-2013,Change of use from o,06-08-2013,26  Eustace Street,Decision Notices Iss,26-09-2013,06-08-2013,Permission,GRANT PERMISSION
2144/13,24-06-2013,For the change of us,08-02-2013,26  Eustace Street,Decision Notices Iss,09-05-2013,16-04-2013,Permission,GRANT PERMISSION
3464/13,NULL,A single shop-front,29-10-2013,Retail Unit 1  Trini,Decision Notices Iss,04-11-2013,29-10-2013,Permission,APPLICATION DECLARED
3550/13,24-02-2014,For a single shop fr,14-11-2013,Retail Unit 1  Trini,Decision Notices Iss,13-01-2014,14-11-2013,Permission,GRANT PERMISSION
3978/08,06-11-2008,PROTECTED STRUCTURE,07-08-2008,15  Bachelors Walk,Decision Notices Iss,26-09-2008,07-08-2008,Permission,GRANT PERMISSION
2440/10,07-09-2010,PROTECTED STRUCTURE,18-03-2010,15  Bachelors Walk,Decision Notices Iss,26-07-2010,29-06-2010,Permission,GRANT PERMISSION
2248/10,NULL,PROTECTED STRUCTURE-,17-02-2010,Pearse Station  West,Decision Notices Iss,25-02-2010,17-02-2010,Permission,APPLICATION DECLARED
3408/08,NULL,PROTECTED STRUCTURE,27-06-2008,15  Bachelors Walk,Decision Notices Iss,14-07-2008,27-06-2008,Permission,APPLICATION DECLARED
2714/03,16-09-2003,change of use from s,16-06-2003,15  Bachelors Walk,Decision Appealed,06-08-2003,16-06-2003,Permission,GRANT PERMISSION
3217/17,NULL,PROTECTED STRUCTURE:,21-06-2017,Unit 1  GPO Building,Decision Notices Iss,21-09-2017,25-08-2017,Permission,REFUSE PERMISSION
3163/18,31-08-2018,PROTECTED STRUCTURE:,01-06-2018,Unit 1  GPO Building,Decision Notices Iss,26-07-2018,01-06-2018,Permission,GRANT PERMISSION
2705/06,25-07-2006,change of use from R,27-04-2006,Westcoast Coffee  co,Decision Appealed,20-06-2006,27-04-2006,Permission,GRANT PERMISSION
3866/18,NULL,RETENTION: replace u,04-09-2018,109  Grafton Street,Decision Notices Iss,26-10-2018,04-09-2018,Retention Permission,REFUSE RETENTION PER
4663/18,25-03-2019,Permission sought fo,19-12-2018,109  Grafton Street,Decision Notices Iss,15-02-2019,19-12-2018,Permission,GRANT PERMISSION
3591/13,26-02-2014,PROTECTED STRUCTURE:,22-11-2013,7 D'Olier Street  Du,Decision Notices Iss,16-01-2014,22-11-2013,Permission,GRANT PERMISSION
2708/07,19-07-2007,PROTECTED STRUCTURE-,17-04-2007,7  D'Olier Street  D,Decision Notices Iss,05-06-2007,17-04-2007,Permission,GRANT PERMISSION
4119/09,06-04-2010,Change of use of exi,20-10-2009,1  Aston Quay  Dubli,Appeal Decided,11-12-2009,20-10-2009,Permission,REFUSE PERMISSION
4610/08,09-02-2009,Change of use from g,06-10-2008,61-61A  Talbot Stree,Decision Notices Iss,18-12-2008,11-12-2008,Permission,GRANT PERMISSION
6221/07,NULL,PRO STRUCT: Change o,22-11-2007,57  Dame Street  Dub,Decision Notices Iss,30-11-2007,22-11-2007,Permission,APPLICATION DECLARED
4025/18,NULL,Installation of an A,26-09-2018,15  Suffolk Street,Decision Notices Iss,19-11-2018,26-09-2018,Permission,REFUSE PERMISSION
2217/13,24-05-2013,Revisions to develop,21-02-2013,George's Court  54-5,Decision Notices Iss,11-04-2013,21-02-2013,Permission,GRANT PERMISSION
2782/08,11-03-2009,A new shopfront & se,13-05-2008,Ground & Basement Le,Decision Notices Iss,23-01-2009,22-12-2008,Permission,GRANT PERMISSION
5163/04,NULL,PROT STRUCretention,27-10-2004,Wollensky's Restaura,Decision Notices Iss,16-12-2004,27-10-2004,Permission,REFUSE PERMISSION
4257/06,15-02-2007,PRO STRUCT. Retentio,27-07-2006,La Gondola Restauran,Decision Notices Iss,10-01-2007,07-12-2006,Permission,GRANT PERMISSION
3501/06,NULL,PROTECTED STRUCTURE,15-06-2006,La Gondola Restauran,Decision Notices Iss,15-06-2006,15-06-2006,Permission,APPLICATION DECLARED
3091/18,NULL,PROTECTED STRUCTURE:,23-05-2018,57  Dame Street  Dub,Decision Notices Iss,07-03-2019,23-05-2018,Permission,WITHDRAWN ARTICLE 33
5266/08,18-03-2009,Erection of uprights,08-12-2008,The Oval Bar  78  Ab,Decision Notices Iss,03-02-2009,08-12-2008,Permission,GRANT PERMISSION
3068/12,10-04-2013,Continuance of the p,14-08-2012,The Oval Bar  78 Mid,Decision Notices Iss,28-02-2013,04-02-2013,Retention Permission,GRANT RETENTION PERM
4792/08,NULL,erection of uprights,21-10-2008,The Oval Bar  78  Ab,Decision Notices Iss,19-11-2008,21-10-2008,Permission,APPLICATION DECLARED
3099/19,NULL,PROTECTED STRUCTURE:,22-05-2019,16  Exchequer Street,Decision Notices Iss,05-06-2019,22-05-2019,Permission,APPLICATION DECLARED
2575/19,NULL,Planning permission,22-03-2019,16  Exchequer Street,Decision Notices Iss,03-04-2019,22-03-2019,Permission,APPLICATION DECLARED
2844/19,NULL,PROTECTED STRUCTURE:,24-04-2019,16  Exchequer Street,Decision Notices Iss,09-05-2019,24-04-2019,Permission,APPLICATION DECLARED
2570/19,NULL,RETENTION: Planning,22-03-2019,6  Bachelors Walk  D,Decision Notices Iss,16-05-2019,22-03-2019,Retention Permission,GRANT RETENTION PERM
3305/17,06-10-2017,Permission for chang,03-07-2017,Unit 4 Avoca House,Decision Notices Iss,25-08-2017,03-07-2017,Permission,GRANT PERMISSION
3639/16,01-03-2017,PROTECTED STRUCTURE:,02-09-2016,44  East Essex Stree,Decision Notices Iss,19-01-2017,16-12-2016,Retention Permission,GRANT PERMISSION AND
3870/10,03-02-2011,Change of use on gro,01-11-2010,6  Bachelors Walk  D,Decision Notices Iss,16-12-2010,01-11-2010,Permission,GRANT PERMISSION
2138/12,NULL,Change of use from r,09-02-2012,Unit 68  Parnell Mal,Decision Notices Iss,14-02-2012,09-02-2012,Permission,APPLICATION DECLARED
2167/12,NULL,change of use from r,16-02-2012,Unit 68  Parnell Mal,Decision Notices Iss,07-03-2012,16-02-2012,Permission,APPLICATION DECLARED
4505/17,28-03-2018,PROTECTED STRUCTURE;,13-12-2017,2  Grafton Street  D,Decision Notices Iss,14-02-2018,13-12-2017,Permission,GRANT PERMISSION
4222/06,28-11-2006,New shop front  sign,25-07-2006,30  Lower Ormond Qua,Decision Notices Iss,23-10-2006,27-09-2006,Permission,GRANT PERMISSION
2492/08,NULL,Change of use of gro,24-04-2008,3  South Great Georg,Decision Notices Iss,01-05-2008,24-04-2008,Permission,APPLICATION DECLARED
2693/08,13-02-2009,Change use of ground,07-05-2008,3  Great Georges Str,Appeal Decided,24-06-2008,07-05-2008,Permission,REFUSE PERMISSION
1214/08,21-04-2008,PROTECTED STRUCTURE,24-01-2008,Ground Floor Unit  T,Decision Notices Iss,10-03-2008,24-01-2008,Permission,GRANT PERMISSION
3319/04,06-10-2004,Erection of shopfron,16-06-2004,5A  Crown Alley  Dub,Decision Appealed,31-08-2004,16-06-2004,Permission,GRANT PERMISSION
3850/08,22-10-2008,Alterations to exist,28-07-2008,8  O'Connell Street,Decision Notices Iss,10-09-2008,28-07-2008,Permission,GRANT PERMISSION
4151/09,26-01-2010,New replacement shop,27-10-2009,35  Wicklow Street,Decision Notices Iss,11-12-2009,27-10-2009,Permission,GRANT PERMISSION
2729/18,31-08-2018,PROTECTED STRUCTURE:,13-04-2018,12 D'Olier St. (Base,Decision Notices Iss,23-07-2018,26-06-2018,Permission,GRANT PERMISSION
3391/12,NULL,The provision of a n,24-10-2012,Corner of South Grea,Appeal Decided,11-12-2012,24-10-2012,Permission,GRANT PERMISSION
5042/04,27-01-2005,new mixed use develo,19-10-2004,4-11 Railway Street,Decision Appealed,10-12-2004,19-10-2004,Permission,GRANT PERMISSION
3072/12,26-04-2013,PROTECTED STRUCTURE:,14-08-2012,48/49  Nassau Street,Appeal Decided,09-11-2012,18-10-2012,Permission,GRANT PERMISSION
4799/06,28-11-2006,PROTECTED STRUCTURE-,29-08-2006,3  Trinity Street  D,Decision Notices Iss,23-10-2006,29-08-2006,Permission,GRANT PERMISSION
4189/16,10-05-2017,RETENTION - PROTECTE,23-11-2016,34  Bachelors Walk,Decision Notices Iss,30-03-2017,06-03-2017,Retention Permission,GRANT RETENTION PERM
3990/16,NULL,PROTECTED STRUCTURE,26-10-2016,34A  Bachelor's Walk,Decision Notices Iss,04-11-2016,26-10-2016,Permission,APPLICATION DECLARED
3050/15,19-01-2016,PROTECTED STRUCTURE:,22-06-2015,34 Bachelors Walk  5,Appeal Decided,13-08-2015,22-06-2015,Permission,REFUSE PERMISSION
2135/11,06-05-2011,Change of use of par,04-02-2011,9  Essex Street East,Decision Notices Iss,23-03-2011,04-02-2011,Permission,GRANT PERMISSION
3910/10,NULL,Change of use of par,05-11-2010,9  Essex Street East,Decision Notices Iss,07-01-2011,05-11-2010,Permission,REFUSE PERMISSION
2109/11,NULL,Change of use of par,01-02-2011,9  Essex Street East,Decision Notices Iss,04-02-2011,01-02-2011,Permission,APPLICATION DECLARED
4417/05,21-11-2005,modifications to pre,22-08-2005,4-11 Railway St  36-,Decision Appealed,14-10-2005,22-08-2005,Permission,GRANT PERMISSION
3853/03,07-01-2004,Modifications to pre,12-08-2003,4-11 Railway Street,Registered applicati,18-11-2003,22-10-2003,Permission,GRANT PERMISSION
2608/04,30-07-2004,erection of 3 no. si,29-04-2004,5  Crown Alley  Temp,Decision Appealed,22-06-2004,29-04-2004,Permission,GRANT PERMISSION
2729/11,27-09-2011,Change of use with r,23-05-2011,19  Exchequer Street,Decision Notices Iss,16-08-2011,20-07-2011,Permission,GRANT PERMISSION
3308/05,NULL,Retention Permission,13-06-2005,19  Exchequer Street,Appeal Decided,04-08-2005,13-06-2005,Permission,REFUSE PERMISSION
2894/06,02-08-2006,Permission for vario,11-05-2006,19  Exchequer Street,Decision Notices Iss,28-06-2006,11-05-2006,Permission,GRANT PERMISSION
3790/17,30-01-2018,PROTECTED STRUCTURE:,05-09-2017,57  Gardiner Street,Decision Notices Iss,12-12-2017,24-11-2017,Permission,GRANT PERMISSION
2296/05,07-07-2005,PROTECTED STRUCTUREr,08-04-2005,Mortons Jewellers 48,Decision Notices Iss,01-06-2005,08-04-2005,Permission,GRANT PERMISSION
4247/17,26-02-2018,Permission for chang,13-11-2017,95  Talbot Street  D,Decision Notices Iss,16-01-2018,13-11-2017,Permission,GRANT PERMISSION
3566/09,01-12-2009,PROTECTED STRUCTURE,27-07-2009,11  Eustace Street,Decision Notices Iss,21-10-2009,24-09-2009,Permission,GRANT PERMISSION
3205/18,04-09-2018,PROTECTED STRUCTURE:,08-06-2018,11  Eustace Street,Decision Notices Iss,02-08-2018,08-06-2018,Permission,GRANT PERMISSION
4698/18,28-03-2019,Permission for chang,20-12-2018,3  North Earl Street,Decision Notices Iss,22-02-2019,20-12-2018,Permission,GRANT PERMISSION
3443/12,13-02-2013,New replacement shop,08-11-2012,34  Wicklow Street,Decision Notices Iss,02-01-2013,08-11-2012,Permission,GRANT PERMISSION
2662/06,05-09-2006,change of use from r,26-04-2006,104 & 105  Talbot St,Decision Appealed,01-08-2006,07-07-2006,Permission,GRANT PERMISSION
2356/06,NULL,Permission for chang,05-04-2006,104  Talbot Street,Decision Notices Iss,21-04-2006,05-04-2006,Permission,APPLICATION DECLARED
3507/14,12-01-2015,Resume former gym us,09-10-2014,Formerly known as  T,Decision Notices Iss,27-11-2014,09-10-2014,Permission,GRANT PERMISSION
2899/15,02-09-2015,Amend approved openi,02-06-2015,Formerly known as Th,Decision Notices Iss,23-07-2015,02-06-2015,Permission,GRANT PERMISSION
5993/06,16-02-2007,PROTECTED STRUCTURE,09-11-2006,Aston Building  14-1,Decision Notices Iss,11-01-2007,09-11-2006,Permission,GRANT PERMISSION
2969/14,NULL,Change of use from h,30-06-2014,9  Store Street  Dub,Decision Notices Iss,19-08-2014,30-06-2014,Permission,APPLICATION DECLARED
4980/03,NULL,Change of shopfront,15-10-2003,17  Suffolk Street,Decision Notices Iss,08-12-2003,15-10-2003,Permission,REFUSE PERMISSION
3759/04,13-10-2004,permission for an al,16-07-2004,24-26  City Quay  (T,Decision Notices Iss,07-09-2004,16-07-2004,Permission,GRANT PERMISSION
2977/09,NULL,Construction of prop,08-05-2009,17  Suffolk Street,Decision Notices Iss,16-06-2009,08-05-2009,Permission,REFUSE PERMISSION
3293/10,28-10-2010,Permission is sought,29-07-2010,17  Suffolk Street,Decision Notices Iss,15-09-2010,29-07-2010,Permission,GRANT PERMISSION
1858/04,16-06-2004,new 4 storey buildin,09-03-2004,40  Abbey Street Upp,Decision Appealed,29-04-2004,09-03-2004,Permission,GRANT PERMISSION
3111/14,NULL,Change of use from o,23-07-2014,32  Westland Square,Decision Notices Iss,06-03-2015,11-02-2015,Permission,REFUSE PERMISSION
2764/06,NULL,Retention of a retai,02-05-2006,60A O'Connell Street,Decision Notices Iss,17-05-2006,02-05-2006,Permission,APPLICATION DECLARED
3379/06,NULL,Retention of retail,08-06-2006,5  Henry Place  Dubl,Decision Notices Iss,02-08-2006,08-06-2006,Permission,REFUSE PERMISSION
3934/15,05-02-2016,PROTECTED STRUCTURE:,02-11-2015,14a  O'Connell Stree,Decision Notices Iss,16-12-2015,02-11-2015,Permission,GRANT PERMISSION
3980/09,08-01-2010,PROTECTED STRUCTURE-,28-09-2009,Ground Floor Facade,Decision Notices Iss,09-11-2009,28-09-2009,Permission,GRANT PERMISSION
1461/05,10-05-2005,new shop front conta,09-02-2005,17  Suffolk Street,Decision Notices Iss,04-04-2005,09-02-2005,Permission,GRANT PERMISSION
3285/10,01-11-2010,RETENTION: Change of,28-07-2010,17  Bachelors Walk,Decision Notices Iss,17-09-2010,28-07-2010,Permission,GRANT PERMISSION
5300/08,11-03-2009,PROTECTED STRUCTURE:,11-12-2008,15  Bachelors Walk,Decision Notices Iss,27-01-2009,11-12-2008,Permission,GRANT PERMISSION
2315/04,05-10-2004,permission is being,08-04-2004,1a & 2  Talbot Stree,Decision Notices Iss,30-08-2004,04-08-2004,Permission,GRANT PERMISSION
4493/08,08-12-2008,Material change of u,22-09-2008,Basement Of  34  Dam,Decision Notices Iss,30-10-2008,22-09-2008,Permission,GRANT PERMISSION
5593/06,NULL,PROTECTED STRUCTURE-,17-10-2006,Aston Building  14-1,Decision Notices Iss,02-11-2006,17-10-2006,Permission,APPLICATION DECLARED
1719/05,NULL,Removal of external,28-02-2005,5 Marlborough Street,Decision Notices Iss,21-03-2005,28-02-2005,Permission,APPLICATION DECLARED
3579/16,NULL,PROTECTED STRUCTURE:,23-08-2016,10  Abbey Street Low,Decision Notices Iss,12-10-2016,23-08-2016,Retention Permission,REFUSE RETENTION PER
4027/16,NULL,RETENTION: Modificat,28-10-2016,109  Grafton Street,Decision Notices Iss,14-12-2016,28-10-2016,Retention Permission,REFUSE RETENTION PER
4590/17,NULL,RETENTION: PERMISSIO,21-12-2017,109  Grafton Street,Appeal Decided,23-02-2018,21-12-2017,Retention Permission,REFUSE RETENTION PER
5948/06,16-04-2007,Change of use from n,08-11-2006,Front Page  109  Gra,Decision Notices Iss,07-03-2007,09-02-2007,Permission,GRANT PERMISSION
4503/18,NULL,Permission is sought,30-11-2018,109  Grafton Street,Decision Notices Iss,06-06-2019,10-05-2019,Permission,GRANT PERMISSION
3303/08,NULL,PROTECTED STRUCTURE,19-06-2008,Austravel 37  Colleg,Decision Notices Iss,13-08-2008,19-06-2008,Permission,REFUSE PERMISSION
3665/18,07-12-2018,Development comprise,07-08-2018,22 Store Street  Dub,Decision Notices Iss,01-10-2018,07-08-2018,Permission,GRANT PERMISSION
4166/07,16-10-2007,Retention permission,10-07-2007,91  Townsend Street,Decision Notices Iss,03-09-2007,10-07-2007,Permission,GRANT PERMISSION
2742/14,21-11-2014,The change of use of,28-05-2014,4  O'Connell Street,Decision Notices Iss,13-10-2014,23-09-2014,Permission,GRANT PERMISSION
2671/14,NULL,Change of use of bas,16-05-2014,4  O'Connell Street,Decision Notices Iss,20-05-2014,16-05-2014,Permission,APPLICATION DECLARED
2579/05,21-09-2005,removal of existing,26-04-2005,5 Marlborough Street,Decision Appealed,16-08-2005,20-07-2005,Permission,GRANT PERMISSION
2448/18,07-06-2018,Permission for chang,07-03-2018,Abuting the eastern,Decision Notices Iss,26-04-2018,07-03-2018,Permission,GRANT PERMISSION
3808/18,28-11-2018,Permission for alter,28-08-2018,Abutting the eastern,Decision Notices Iss,22-10-2018,28-08-2018,Permission,GRANT PERMISSION
2491/17,NULL,Change of use on the,16-03-2017,12  Crown Alley  Dub,Decision Notices Iss,19-04-2017,16-03-2017,Permission,APPLICATION DECLARED
3440/17,NULL,Change of use on the,18-07-2017,12  Crown Alley  Dub,Decision Notices Iss,02-08-2017,18-07-2017,Permission,APPLICATION DECLARED
3324/03,21-10-2003,Change of use from F,17-07-2003,107  Grafton Street,Decision Appealed,09-09-2003,17-07-2003,Permission,GRANT PERMISSION
3164/10,30-09-2010,PROTECTED STRUCTURE,09-07-2010,13a  Bachelors Walk,Decision Notices Iss,20-08-2010,09-07-2010,Permission,GRANT PERMISSION
3915/16,NULL,Removal of the exist,13-10-2016,28  Wicklow Street,Decision Notices Iss,25-10-2016,13-10-2016,Permission,APPLICATION DECLARED
4006/16,31-01-2017,Removal of modern sh,27-10-2016,28  Wicklow Street,Decision Notices Iss,09-12-2016,27-10-2016,Permission,GRANT PERMISSION
1856/04,NULL,change of use from o,09-03-2004,20  Essex Street Eas,Decision Notices Iss,04-05-2004,09-03-2004,Permission,APPLICATION WITHDRAW
3758/15,19-01-2016,Elevational alterati,05-10-2015,22  Wicklow Street,Decision Notices Iss,27-11-2015,05-10-2015,Permission,GRANT PERMISSION
4975/04,NULL,change of use of the,13-10-2004,Rear of 20  Eden Qua,Decision Notices Iss,07-12-2004,13-10-2004,Permission,ADDITIONAL INFORMATI
4374/04,NULL,change of use of the,31-08-2004,Rear of  20  Old Abb,Decision Notices Iss,15-09-2004,31-08-2004,Permission,APPLICATION DECLARED
5568/05,31-03-2006,Retention of air con,09-11-2005,52  Dame Street  Dub,Decision Notices Iss,22-02-2006,30-01-2006,Permission,GRANT PERMISSION
3032/17,09-03-2018,Change of use from r,30-05-2017,22   Lower Ormond Qu,Appeal Decided,06-09-2017,10-08-2017,Permission,GRANT PERMISSION
2033/18,NULL,Permission for alter,09-01-2018,Ground Floor and Bas,Appeal Decided,05-03-2018,09-01-2018,Permission,REFUSE PERMISSION
2744/19,NULL,PROTECTED STRUCTURE:,12-04-2019,10  Abbey Street Low,Decision Notices Iss,06-06-2019,12-04-2019,Permission,REFUSE PERMISSION
6672/07,13-03-2008,Change of use of exi,20-12-2007,Unit 1  Ground Floor,Decision Notices Iss,06-02-2008,20-12-2007,Permission,GRANT PERMISSION
3883/04,NULL,provision of new sho,23-07-2004,3B  Lombard Street E,Decision Notices Iss,05-08-2004,23-07-2004,Permission,APPLICATION DECLARED
2421/15,NULL,RETENTION:Existing r,19-03-2015,30  Mary Street  Dub,Decision Notices Iss,30-04-2015,19-03-2015,Retention Permission,REFUSE RETENTION PER
3533/10,03-12-2010,RETENTION - change o,06-09-2010,209  The Lotts  Off,Decision Notices Iss,26-10-2010,06-09-2010,Retention Permission,GRANT RETENTION PERM
4000/18,NULL,PROTECTED STRUCTURE:,24-09-2018,5  Westmoreland Stre,Decision Notices Iss,04-10-2018,24-09-2018,Permission,APPLICATION DECLARED
4140/18,12-03-2019,PROTECTED STRUCTURE:,10-10-2018,5  Westmoreland Stre,Decision Notices Iss,31-01-2019,04-01-2019,Permission,GRANT PERMISSION
2862/19,NULL,PROTECTED STRUCTURE:,29-04-2019,5  Westmoreland Stre,Registered applicati,NULL,29-04-2019,Permission,NULL
2592/19,NULL,PROTECTED STRUCTURE:,25-03-2019,5  Westmoreland Stre,Decision Notices Iss,16-05-2019,25-03-2019,Permission,GRANT PERMISSION
1995/04,23-06-2004,conversion and chang,19-03-2004,O'Connell Bridge Hou,Decision Appealed,10-05-2004,19-03-2004,Permission,GRANT PERMISSION
4166/04,09-11-2004,new timber / alumini,16-08-2004,3B  Lombard Street E,Decision Appealed,04-10-2004,16-08-2004,Permission,GRANT PERMISSION
3970/04,09-02-2005,change of use at gro,29-07-2004,Bagel Factory  33  W,Appeal Decided,10-09-2004,29-07-2004,Permission,REFUSE PERMISSION
1411/08,NULL,new hard landscaped,08-02-2008,Dublin Corporation D,Decision Notices Iss,12-03-2008,08-02-2008,Permission,APPLICATION DECLARED
2201/08,02-07-2008,External works adjac,04-04-2008,Dublin Corporation D,Decision Notices Iss,20-05-2008,04-04-2008,Permission,GRANT PERMISSION
2967/10,15-09-2010,New signage and also,10-06-2010,33  Henry Street  Du,Decision Notices Iss,04-08-2010,10-06-2010,Permission,GRANT PERMISSION
3780/09,NULL,External works to th,27-08-2009,33  Henry Street & H,Decision Notices Iss,02-09-2009,27-08-2009,Permission,APPLICATION DECLARED
3874/09,NULL,Development of exist,11-09-2009,33  Henry Street & H,Decision Notices Iss,05-11-2009,11-09-2009,Permission,REFUSE PERMISSION
2492/06,28-08-2006,Permission sought fo,13-04-2006,Unit 2  Temple Bar S,Decision Notices Iss,24-07-2006,05-07-2006,Permission,GRANT PERMISSION
3639/11,01-03-2013,Change of use from o,02-12-2011,22  Wicklow Street,Appeal Decided,30-01-2012,02-12-2011,Permission,GRANT PERMISSION
2599/09,26-06-2009,Minor revisions to p,23-03-2009,40  O'Connell Street,Decision Notices Iss,14-05-2009,23-03-2009,Permission,GRANT PERMISSION
5701/07,15-07-2008,Change of use of exi,15-10-2007,Abbey Cottages  Abbe,Appeal Decided,12-02-2008,18-01-2008,Permission,GRANT PERMISSION
4095/04,05-11-2004,erect a new sign to,10-08-2004,Drury Street undergr,Decision Appealed,30-09-2004,10-08-2004,Permission,GRANT PERMISSION
2304/07,27-06-2007,Change of use of gro,23-03-2007,76  Dame Street  Dub,Decision Notices Iss,15-05-2007,23-03-2007,Permission,GRANT PERMISSION
5369/07,20-12-2007,change of use of fir,21-09-2007,76  Dame Street  Dub,Decision Notices Iss,06-11-2007,21-09-2007,Permission,GRANT PERMISSION
3376/08,19-01-2009,Change of use from p,26-06-2008,Jasonia House  76  D,Decision Notices Iss,27-11-2008,31-10-2008,Permission,GRANT PERMISSION
3093/08,NULL,Change of use from p,05-06-2008,Jasonia House  76  D,Decision Notices Iss,17-06-2008,05-06-2008,Permission,APPLICATION DECLARED
3914/03,12-11-2003,demolition of existi,14-08-2003,76  Dame Street  Dub,Decision Appealed,06-10-2003,14-08-2003,Permission,GRANT PERMISSION
3598/04,06-10-2004,The development will,07-07-2004,Unit 2  G.P.O. Arcad,Decision Appealed,31-08-2004,07-07-2004,Permission,GRANT PERMISSION
3381/11,13-01-2012,construct a new cafe,05-10-2011,ILAC Centre  Dublin,Decision Notices Iss,28-11-2011,05-10-2011,Permission,GRANT PERMISSION
3351/11,NULL,Construct a new cafe,28-09-2011,ILAC Centre  Dublin,Decision Notices Iss,05-10-2011,28-09-2011,Permission,APPLICATION DECLARED
WEB1062/08,NULL,Retention of illumin,03-09-2008,Jasonia House  76  D,Decision Notices Iss,11-09-2008,03-09-2008,Retention Permission,APPLICATION DECLARED
2397/19,06-06-2019,Change of use of par,01-03-2019,1-5  Crampton Court,Decision Notices Iss,25-04-2019,01-03-2019,Permission,GRANT PERMISSION
